Poster,Emotions
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MDg3OTYwMF5BMl5BanBnXkFtZTcwODUzOTAwMw@@._V1_UY268_CR102,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3MTY2MDAzMF5BMl5BanBnXkFtZTcwNjQ4MjUzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",happiness
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NTA3NzAwOF5BMl5BanBnXkFtZTcwNTIxMTcyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTQ3NzAyMV5BMl5BanBnXkFtZTgwMTcxNjk5MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMzIwMDQ4NTk3MV5BMl5BanBnXkFtZTcwOTUxNDE0MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NjM1NzU0N15BMl5BanBnXkFtZTcwNjM0Mzk0NQ@@._V1._CR56,38,242,408_UX182_CR0,0,182,268_AL_.jpg",happiness|happiness|neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MjEwNDM0M15BMl5BanBnXkFtZTcwOTI5NjEzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",neutral|happiness
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NDU0MTA3NF5BMl5BanBnXkFtZTcwMDUwNzczMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3ODQ4NTU3NF5BMl5BanBnXkFtZTcwMjQ3MTcxOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMDc0OTQzNV5BMl5BanBnXkFtZTcwMDY1MzgyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3Mjg0NjY2NV5BMl5BanBnXkFtZTcwMDkxNTU3Mg@@._V1_UY268_CR6,0,182,268_AL_.jpg",happiness|neutral|happiness|neutral|neutral|neutral|neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BOWU0YjFmY2EtOWU3MC00YjQ2LTg0MjAtODVhNzk3YzI3YjljXkEyXkFqcGdeQXVyMjcyNjk5Mg@@._V1_UY268_CR8,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NTc5Njc4MV5BMl5BanBnXkFtZTcwNTYzMTcwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NjM5MDk5N15BMl5BanBnXkFtZTcwOTQ5MjQ0Mg@@._V1_UY268_CR0,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NDg0Mjg0MV5BMl5BanBnXkFtZTcwMDgyMzUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BN2M2NGIyMDUtY2Q4Ni00M2UyLWI0ZjEtYmI3MTM0MjJiZWJmXkEyXkFqcGdeQXVyNjU2OTUyODc@._V1_UY268_CR3,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzE0NTIzMV5BMl5BanBnXkFtZTcwOTkyNjc3Mw@@._V1_UY268_CR3,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2OTI2MDU0MF5BMl5BanBnXkFtZTcwNDM1MzcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMDczNTI3OF5BMl5BanBnXkFtZTcwNjY3MTExOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MjQ1NTE0MV5BMl5BanBnXkFtZTcwMTc5NDcxMw@@._V1_UY268_CR2,0,182,268_AL_.jpg",neutral|neutral|neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BNTYwMWRlNWItMTBiZi00YmZjLTg4YzItYTIzNDlkOGQ4Y2ZlXkEyXkFqcGdeQXVyMjc1NTg2NTI@._V1_UY268_CR1,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwOTg3MTI4MF5BMl5BanBnXkFtZTcwMTMzMDI1OQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NTI2NTY0NF5BMl5BanBnXkFtZTcwMTc0NjcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",neutral|happiness
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NDIxMzE3NV5BMl5BanBnXkFtZTcwMjIzMzcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",happiness|happiness
"https://images-na.ssl-images-amazon.com/images/M/MV5BODkyMTUzODcyNl5BMl5BanBnXkFtZTcwOTg2MDg5MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NzUxMzQ3N15BMl5BanBnXkFtZTcwOTg2MTk1NQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyODY5MTU5M15BMl5BanBnXkFtZTcwMDcxMTM4NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMDczNjdmYjEtN2QyYi00MTIxLTgyNmUtNzRkNzVlM2UyYTQwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL_.jpg",neutral|neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BNGY4NWQ5OTQtNzE2Ny00MDQ3LWFkZDQtMmZhZDliZWQzZDJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY268_CR12,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MjQwMzk1NF5BMl5BanBnXkFtZTcwOTA5NDgyMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA4ODA3MjE0NjNeQTJeQWpwZ15BbWU3MDQyMjY5MTE@._V1_UY268_CR3,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BM2FiYWQzOGItZjBlNS00ZjMyLWEwZjAtYzMwYTlmNGI1MzZlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDQyMTI3Nl5BMl5BanBnXkFtZTcwOTAyMzAwMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MjY5MjA0Nl5BMl5BanBnXkFtZTcwNTQ4MzQyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTNlYjI0YzMtMThmNy00ZDJjLWE4YzctYTNhODRmOTFjODc1XkEyXkFqcGdeQXVyMjAzMjcxNTE@._V1_UY268_CR0,0,182,268_AL_.jpg",happiness|neutral|neutral|neutral
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMTU2MDk3MF5BMl5BanBnXkFtZTcwNjAxNTAzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",neutral|neutral
